predictor,q_raw,q_ln,width_factor_ln,cov_raw_ind,cov_ln_ind,cov_raw_big,cov_ln_big,ds,thr,seed,n_big,d_hi,ooe_bias,ooe_cov,ooe_unsafe
ML-RF,47.000733107604674,0.5215133145607753,2.8377929765401726,0.8484848484848485,0.8484848484848485,0.21348314606741572,0.5280898876404494,SFRC,0.75,2,89,340.0,2.069134957065774,0.5973026076452636,0.02247191011235955
Narayanan-Darwish,72.79985539094278,0.7293628584273253,4.300476011212419,0.9090909090909091,0.9242424242424242,0.7752808988764045,1.0,SFRC,0.75,2,89,340.0,1.0331092826181798,0.2023779889524696,0.43820224719101125
ML-HistGB,75.82670448167681,0.4897070451380099,2.662895568359708,0.9852941176470589,1.0,0.3170731707317073,0.36585365853658536,SFRC,0.8,0,82,381.0,2.0934351416092047,0.4666388209704881,0.0
ML-RF,121.64527951031206,0.5551102531517422,3.0350275633639514,0.9852941176470589,1.0,0.5853658536585366,0.573170731707317,SFRC,0.8,0,82,381.0,1.9552221944627848,0.5110381429627854,0.012195121951219513
Narayanan-Darwish,79.19311955381394,0.45729984624180187,2.495775974027365,0.9558823529411765,0.8970588235294118,0.7804878048780488,0.9878048780487805,SFRC,0.8,0,82,381.0,0.9867197344926626,0.19462989347324075,0.5365853658536586
ML-HistGB,49.12838935242503,0.3215064074858178,1.9022032411717797,0.8823529411764706,0.8970588235294118,0.24390243902439024,0.3048780487804878,SFRC,0.8,1,82,381.0,2.022295999267971,0.5071045861363519,0.024390243902439025
ML-RF,100.71194256528747,0.5908042781160274,3.259613259323955,0.9411764705882353,0.9852941176470589,0.4878048780487805,0.5487804878048781,SFRC,0.8,1,82,381.0,2.111813455937876,0.5319011591253487,0.012195121951219513
Narayanan-Darwish,70.36084674301782,0.4338086216668584,2.3812301962758564,0.8970588235294118,0.8823529411764706,0.7317073170731707,0.9878048780487805,SFRC,0.8,1,82,381.0,1.0068003218634336,0.19462989347324078,0.4878048780487805
ML-HistGB,53.85693503570843,0.4233133188589626,2.3317676726172825,0.9264705882352942,0.9411764705882353,0.3780487804878049,0.5,SFRC,0.8,2,82,381.0,1.8497525950511313,0.5678648650898018,0.0975609756097561
ML-RF,77.97562341325067,0.45647082093937463,2.491641279877351,0.8823529411764706,0.8382352941176471,0.4634146341463415,0.5365853658536586,SFRC,0.8,2,82,381.0,1.9029170798375687,0.5900804104083915,0.07317073170731707
Narayanan-Darwish,69.68931006435383,0.7417734234139659,4.408554450967317,0.8970588235294118,0.9411764705882353,0.7195121951219512,1.0,SFRC,0.8,2,82,381.0,1.012971804087096,0.19462989347324075,0.4878048780487805
