ds,model,uq,thr,seed,interp,extrap
STEEL,Linear,knn-norm,0.75,0,0.9235668789808917,0.3209302325581395
STEEL,GP,native90,0.75,0,0.9363057324840764,
STEEL,GP,native90,0.75,0,,0.6511627906976745
STEEL,QuantGBM,native90,0.75,0,0.802547770700637,
STEEL,QuantGBM,native90,0.75,0,,0.4790697674418605
STEEL,HistGB,split,0.75,1,0.9299363057324841,0.4883720930232558
STEEL,HistGB,knn-norm,0.75,1,0.9554140127388535,0.5302325581395348
STEEL,RF,split,0.75,1,0.9171974522292994,0.42790697674418604
STEEL,RF,knn-norm,0.75,1,0.9490445859872612,0.5674418604651162
STEEL,Linear,split,0.75,1,0.9044585987261147,0.2372093023255814
STEEL,Linear,knn-norm,0.75,1,0.9299363057324841,0.26976744186046514
STEEL,GP,native90,0.75,1,0.8980891719745223,
STEEL,GP,native90,0.75,1,,0.8604651162790697
STEEL,QuantGBM,native90,0.75,1,0.7707006369426752,
STEEL,QuantGBM,native90,0.75,1,,0.641860465116279
STEEL,HistGB,split,0.8,0,0.9281437125748503,0.313953488372093
STEEL,HistGB,knn-norm,0.8,0,0.9461077844311377,0.38953488372093026
STEEL,RF,split,0.8,0,0.9041916167664671,0.3081395348837209
STEEL,RF,knn-norm,0.8,0,0.9161676646706587,0.3953488372093023
STEEL,Linear,split,0.8,0,0.9221556886227545,0.27325581395348836
STEEL,Linear,knn-norm,0.8,0,0.9520958083832335,0.3081395348837209
STEEL,GP,native90,0.8,0,0.9341317365269461,
STEEL,GP,native90,0.8,0,,0.7732558139534884
STEEL,QuantGBM,native90,0.8,0,0.8143712574850299,
STEEL,QuantGBM,native90,0.8,0,,0.563953488372093
STEEL,HistGB,split,0.8,1,0.8922155688622755,0.3313953488372093
STEEL,HistGB,knn-norm,0.8,1,0.9221556886227545,0.37790697674418605
STEEL,RF,split,0.8,1,0.8862275449101796,0.32558139534883723
STEEL,RF,knn-norm,0.8,1,0.9401197604790419,0.4883720930232558
STEEL,Linear,split,0.8,1,0.8622754491017964,0.13953488372093023
STEEL,Linear,knn-norm,0.8,1,0.9341317365269461,0.19767441860465115
STEEL,GP,native90,0.8,1,0.8682634730538922,
STEEL,GP,native90,0.8,1,,0.6337209302325582
STEEL,QuantGBM,native90,0.8,1,0.8383233532934131,
STEEL,QuantGBM,native90,0.8,1,,0.4127906976744186
