ds,thr,seed,model,arm,cov_ind,cov_big,width_factor,ooe_bias,ooe_cov,ooe_unsafe
FRP,0.7,0,RF,baseline,0.9333333333333333,0.6172839506172839,4.282302854913612,2.1744966849354617,0.5619142610135055,0.024691358024691357
FRP,0.7,0,RF,residual-target,0.9111111111111111,0.8641975308641975,2.2602739432108505,0.9672084689679291,0.25585598154490097,0.5925925925925926
FRP,0.7,0,RF,physics-feature,0.9111111111111111,0.7283950617283951,3.467616152064522,1.540111617134201,0.4432184210645241,0.16049382716049382
FRP,0.7,1,HistGB,baseline,0.9111111111111111,0.5308641975308642,3.1484713729047447,1.9043864992301438,0.44132928612846095,0.024691358024691357
FRP,0.7,1,HistGB,residual-target,0.9777777777777777,0.9012345679012346,2.5120064883822644,0.9423895357793564,0.27652337787568815,0.654320987654321
FRP,0.7,1,HistGB,physics-feature,0.8888888888888888,0.6172839506172839,2.8803866683119064,1.612884811082488,0.4149714051967951,0.1728395061728395
FRP,0.7,1,RF,baseline,0.8666666666666667,0.41975308641975306,2.9642594070692656,2.076980317178292,0.39165772679055794,0.012345679012345678
FRP,0.7,1,RF,residual-target,0.9777777777777777,0.9135802469135802,2.499973421922292,0.9922150284111497,0.26166894949254954,0.5802469135802469
FRP,0.7,1,RF,physics-feature,0.8888888888888888,0.7530864197530864,2.683849474580765,1.4580347779684502,0.34673191564448763,0.14814814814814814
FRP,0.7,2,HistGB,baseline,1.0,0.691358024691358,3.0468790956312675,1.6019367759742191,0.5053946829299734,0.20987654320987653
FRP,0.7,2,HistGB,residual-target,0.9555555555555556,0.9506172839506173,2.6870787345451728,0.9826460722721433,0.2950864613714058,0.6049382716049383
FRP,0.7,2,HistGB,physics-feature,0.9777777777777777,0.7777777777777778,3.4056180951355786,1.4917283281397786,0.422628857857479,0.20987654320987653
FRP,0.7,2,RF,baseline,0.9555555555555556,0.5679012345679012,3.1469492106073345,1.9449555897412383,0.5376543925983454,0.08641975308641975
FRP,0.7,2,RF,residual-target,0.9555555555555556,0.9876543209876543,3.27304229142391,0.9599386557045804,0.2591972058842999,0.6049382716049383
FRP,0.7,2,RF,physics-feature,0.9333333333333333,0.691358024691358,2.5078698994970003,1.445511208846408,0.4294306588695953,0.20987654320987653
FRP,0.75,0,HistGB,baseline,0.9183673469387755,0.6153846153846154,2.849605324742856,1.9060396836188347,0.6720068348660055,0.16923076923076924
FRP,0.75,0,HistGB,residual-target,0.8979591836734694,0.8769230769230769,2.13336021720844,0.8846880816322117,0.21307423066005798,0.7692307692307693
FRP,0.75,0,HistGB,physics-feature,0.8775510204081632,0.6461538461538462,2.8490967941184167,1.7759686383347013,0.5802111962363546,0.2923076923076923
FRP,0.75,0,RF,baseline,0.9387755102040817,0.6923076923076923,4.885807393252172,2.003575845824545,0.6078604487196643,0.16923076923076924
FRP,0.75,0,RF,residual-target,0.9387755102040817,0.8,1.9794979036164198,0.894563561959824,0.22072932639911272,0.7230769230769231
FRP,0.75,0,RF,physics-feature,0.8571428571428571,0.6615384615384615,2.4847681891679407,1.40936044974158,0.4446720588033364,0.2923076923076923
FRP,0.75,1,HistGB,baseline,0.8775510204081632,0.5538461538461539,3.1114373798172372,2.05111477851549,0.5652691958507797,0.2
FRP,0.75,1,HistGB,residual-target,0.8979591836734694,0.6,1.708019815838222,0.8715319717057801,0.2518233317912599,0.7692307692307693
FRP,0.75,1,HistGB,physics-feature,0.8775510204081632,0.47692307692307695,2.286383531063095,1.786876238410488,0.5047730559572252,0.26153846153846155
FRP,0.75,1,RF,baseline,0.8571428571428571,0.5230769230769231,2.9058317920763956,1.8703727054919856,0.4863602310982464,0.18461538461538463
FRP,0.75,1,RF,residual-target,0.9183673469387755,0.7076923076923077,1.771073070386343,0.9130920203418449,0.24193141653691613,0.7230769230769231
FRP,0.75,1,RF,physics-feature,0.8571428571428571,0.6,2.3150307358290076,1.4549799617158976,0.41451683913780957,0.24615384615384617
FRP,0.75,2,HistGB,baseline,0.9387755102040817,0.6153846153846154,2.226733380359414,1.5778281028145795,0.6722418844221251,0.3076923076923077
FRP,0.75,2,HistGB,residual-target,0.9591836734693877,0.7846153846153846,2.0736099546842826,0.8175894944323535,0.20637392849366407,0.8307692307692308
FRP,0.75,2,HistGB,physics-feature,0.9591836734693877,0.6461538461538462,2.498207679839009,1.43079234223437,0.492631348485288,0.36923076923076925
FRP,0.75,2,RF,baseline,0.9183673469387755,0.5538461538461539,2.5190720075237483,1.969488207572325,0.6887483257374348,0.23076923076923078
FRP,0.75,2,RF,residual-target,0.9183673469387755,0.6153846153846154,1.8227233644311096,0.8217135307851412,0.22027582239271185,0.8615384615384616
FRP,0.75,2,RF,physics-feature,0.9183673469387755,0.676923076923077,2.1528415076448715,1.2791731292955464,0.4399901808468606,0.4
FRP,0.8,0,HistGB,baseline,0.9423076923076923,0.7735849056603774,3.6350349925404104,1.5229788186797133,0.554403171899827,0.32075471698113206
FRP,0.8,0,HistGB,residual-target,0.8846153846153846,0.8867924528301887,2.153413141601072,0.8498164548165723,0.20495632453404208,0.8113207547169812
FRP,0.8,0,HistGB,physics-feature,0.9230769230769231,0.6792452830188679,3.272340288538423,1.6219780707586866,0.5562824193074959,0.3018867924528302
FRP,0.8,0,RF,baseline,0.9230769230769231,0.7358490566037735,4.2140591317441825,1.704272043543227,0.5816721432775441,0.2641509433962264
FRP,0.8,0,RF,residual-target,0.9038461538461539,0.8301886792452831,2.1493250548512894,0.8585386219977724,0.20415545573078686,0.8113207547169812
FRP,0.8,0,RF,physics-feature,0.8846153846153846,0.8113207547169812,2.998949688202275,1.3395350594297986,0.46646239117208516,0.37735849056603776
FRP,0.8,1,HistGB,baseline,0.8846153846153846,0.5849056603773585,2.642446020726535,1.7454427472523875,0.5649081751355471,0.16981132075471697
FRP,0.8,1,HistGB,residual-target,0.9615384615384616,0.8301886792452831,2.335086367386847,0.8542151243677607,0.20200822665518828,0.7735849056603774
FRP,0.8,1,HistGB,physics-feature,0.7884615384615384,0.5849056603773585,2.2039305272431746,1.5505394417170084,0.5197123466249549,0.3018867924528302
FRP,0.8,1,RF,baseline,0.8461538461538461,0.6037735849056604,3.1948703239940492,1.737870684327384,0.5385480919555895,0.22641509433962265
