predictor,q_raw,q_ln,width_factor_ln,cov_raw_ind,cov_ln_ind,cov_raw_big,cov_ln_big,ds,thr,seed,n_big,d_hi,ooe_bias,ooe_cov,ooe_unsafe
ML-HistGB,16.24848023671237,0.40026782983543674,2.226733380359414,0.9591836734693877,0.9387755102040817,0.4461538461538462,0.6153846153846154,FRP,0.75,2,65,325.25,1.5778281028145793,0.6722418844221252,0.3076923076923077
ML-RF,22.568133130003986,0.4619452913598239,2.519072007523746,0.9183673469387755,0.9183673469387755,0.49230769230769234,0.5538461538461539,FRP,0.75,2,65,325.25,1.9694882075723228,0.6887483257374343,0.23076923076923078
ACI440,17.178919104663734,0.4971657581581663,2.7029168813845215,0.9591836734693877,0.9387755102040817,0.5538461538461539,0.9384615384615385,FRP,0.75,2,65,325.25,0.886160411882033,0.256605245236045,0.7846153846153846
ML-HistGB,57.9108499308968,0.64530936874886,3.6350349925404104,0.9230769230769231,0.9423076923076923,0.6792452830188679,0.7735849056603774,FRP,0.8,0,53,346.0,1.5229788186797133,0.554403171899827,0.32075471698113206
ML-RF,89.2384410741226,0.7192131737481082,4.2140591317441904,0.9423076923076923,0.9230769230769231,0.8113207547169812,0.7358490566037735,FRP,0.8,0,53,346.0,1.7042720435432281,0.5816721432775444,0.2641509433962264
ACI440,17.402912559670114,0.36255209608716976,2.064946239996978,0.8653846153846154,0.8653846153846154,0.49056603773584906,0.8301886792452831,FRP,0.8,0,53,346.0,0.9206606261785341,0.2774460915802769,0.7169811320754716
ML-HistGB,20.266342217839714,0.485852505601601,2.642446020726535,0.8461538461538461,0.8846153846153846,0.4339622641509434,0.5849056603773585,FRP,0.8,1,53,346.0,1.7454427472523872,0.5649081751355471,0.16981132075471697
ML-RF,29.791503935307148,0.5807732499182507,3.194870323994038,0.8461538461538461,0.8461538461538461,0.5094339622641509,0.6037735849056604,FRP,0.8,1,53,346.0,1.7378706843273866,0.5385480919555895,0.22641509433962265
ACI440,14.66805119548479,0.4434659612727585,2.427669934254423,0.8653846153846154,0.9423076923076923,0.4716981132075472,0.9056603773584906,FRP,0.8,1,53,346.0,0.912554725322113,0.2774460915802768,0.7169811320754716
ML-HistGB,20.639161091049452,0.47496859140569114,2.5855472374059634,0.9615384615384616,0.9615384615384616,0.4716981132075472,0.6981132075471698,FRP,0.8,2,53,346.0,1.5360255431553043,0.6692821500715183,0.33962264150943394
ML-RF,32.7967328671895,0.5406037098432157,2.9482371624585197,0.9615384615384616,0.9038461538461539,0.5283018867924528,0.6037735849056604,FRP,0.8,2,53,346.0,1.8379998094695003,0.721294370823812,0.32075471698113206
ACI440,16.906401571599844,0.5046984234291343,2.743945496454568,0.9423076923076923,0.9423076923076923,0.4716981132075472,0.9245283018867925,FRP,0.8,2,53,346.0,0.8662019413187073,0.2774460915802769,0.7924528301886793
